area,修炼场（周一）,修炼场（周一）,修炼场（周一）,修炼场（周一）,修炼场（周二）,修炼场（周二）,修炼场（周二）,修炼场（周二）,修炼场（周三）,修炼场（周三）,修炼场（周三）,修炼场（周三）,修炼场（周四）,修炼场（周四）,修炼场（周四）,修炼场（周四）,修炼场（周五）,修炼场（周五）,修炼场（周五）,修炼场（周五）,修炼场（周六）,修炼场（周六）,修炼场（周六）,修炼场（周六）,修炼场（周日）,修炼场（周日）,修炼场（周日）,修炼场（周日）,冬木,冬木,冬木,冬木,冬木,冬木,冬木,冬木,奥尔良,奥尔良,奥尔良,奥尔良,奥尔良,奥尔良,奥尔良,奥尔良,奥尔良,奥尔良,七丘之城,七丘之城,七丘之城,七丘之城,七丘之城,七丘之城,七丘之城,七丘之城,七丘之城,七丘之城,七丘之城,俄刻阿诺斯,俄刻阿诺斯,俄刻阿诺斯,俄刻阿诺斯,俄刻阿诺斯,俄刻阿诺斯,俄刻阿诺斯,俄刻阿诺斯,俄刻阿诺斯,俄刻阿诺斯,俄刻阿诺斯,俄刻阿诺斯,伦敦,伦敦,伦敦,伦敦,伦敦,伦敦,伦敦,伦敦,伦敦,合众为一,合众为一,合众为一,合众为一,合众为一,合众为一,合众为一,合众为一,合众为一,合众为一,合众为一,合众为一,合众为一,合众为一,卡美洛,卡美洛,卡美洛,卡美洛,卡美洛,卡美洛,卡美洛,卡美洛,卡美洛,卡美洛,卡美洛,卡美洛,卡美洛,卡美洛,巴比伦尼亚,巴比伦尼亚,巴比伦尼亚,巴比伦尼亚,巴比伦尼亚,巴比伦尼亚,巴比伦尼亚,巴比伦尼亚,巴比伦尼亚,巴比伦尼亚,巴比伦尼亚,巴比伦尼亚,巴比伦尼亚,巴比伦尼亚,新宿,新宿,新宿,新宿,新宿,新宿,新宿,新宿,新宿,新宿,雅戈泰,雅戈泰,雅戈泰,雅戈泰,雅戈泰,雅戈泰,雅戈泰,雅戈泰,雅戈泰,雅戈泰,雅戈泰,雅戈泰,下总国,下总国,下总国,下总国,下总国,下总国,下总国,下总国,塞勒姆,塞勒姆,塞勒姆,塞勒姆,塞勒姆,塞勒姆,塞勒姆,塞勒姆,塞勒姆,塞勒姆,塞勒姆,永久冻土帝国,永久冻土帝国,永久冻土帝国,永久冻土帝国,永久冻土帝国,永久冻土帝国,永久冻土帝国,永久冻土帝国,永久冻土帝国,永久冻土帝国,永久冻土帝国,永久冻土帝国,永久冻土帝国,永久冻土帝国,无间冰焰世纪,无间冰焰世纪,无间冰焰世纪,无间冰焰世纪,无间冰焰世纪,无间冰焰世纪,无间冰焰世纪,无间冰焰世纪,无间冰焰世纪,无间冰焰世纪,无间冰焰世纪
quest,弓超级,弓上级,弓中级,弓初级,枪超级,枪上级,枪中级,枪初级,狂超级,狂上级,狂中级,狂初级,骑超级,骑上级,骑中级,骑初级,术超级,术上级,术中级,术初级,杀超级,杀上级,杀中级,杀初级,剑超级,剑上级,剑中级,剑初级,X-A（宅邸残迹）,X-B（爆炸中心地）,X-C（大桥）,X-D（鲜红港口）,X-E（骸骨彷徨的教会）,X-F（烧尽崩塌的校舍）,X-G（熊熊燃烧的森林）,变动坐标点0号（大空洞）,栋雷米,沃库勒尔,拉沙里泰,汝拉,里昂,马赛,蒂耶尔,波尔多,奥尔良,巴黎,亚壁街道,罗马,埃特纳火山,佛罗伦萨,梅迪奥兰,日耳曼尼亚,玛西格利亚,高卢,不列颠尼亚,有形之岛,联军首都,海盗船,海盗岛,王者的居岛,地图上标记的岛,暗礁海域,潮眼之海,翼龙之岛,火山臼之岛,暴风雨海域,群岛（寂静的入海口）,群岛（隐秘之岛）,丰硕之海,旧街,白色教堂,伦敦城,苏活区,威斯敏斯特,摄政公园,克勒肯维尔,萨瑟克,海德公园,布拉克山,里弗顿,丹佛,德明,达拉斯,阿尔卡特拉斯岛,得梅因,蒙哥马利,拉伯克,亚历山德里亚,卡尼,夏洛特,华盛顿,芝加哥,沙尘暴的沙漠,黎明的沙丘,死之荒野,东之村,圆桌要塞,晚钟庙,西之村遗迹,阿特拉斯院,圣都正门,圣都市街,隐秘之村,王城,无之大地,大神殿,废都巴比伦,北之高台,黑色杉木林,高原,湿地,乌尔,埃里都,观测所,芦苇原,库撒,北壁,尼普尔,艾比夫山,鲜血神殿,代代木二丁目,国道20号,新宿站,新宿四丁目,歌舞伎町,枪身塔,舞会会场,塔顶楼,新宿御苑,新宿二丁目,地底平原,野営地,川辺の町,桃源郷,イース,北の断崖,不夜城,山裾の密林,竜宮城,地底大河,エルドラド,大地の裂け目,田んぼ,里,庵,城下町,合戦場,土気城,裏山,荒川の原,静寂な森,カーター家,公会堂,波止場,ウェイトリー家,郊外の屋敷,ガローの丘,牧草地,空き家,隠れ家,留置所,アンカーポイント,ヤガ?スモレンスク,風穴氷窟,叛逆軍の砦,ヤガ?スィチョーフカ,焼き払われた村,ヤガ?ヴァジマ,ヤガ?ジェメンスク,ヤガ?トゥーラ,潰れた村,ヤガ?モスクワ,大渓谷の砦,大樹の根元,ヤガ?リャザン,ランディングポイント,薄氷の丘,巨人の花園,第23集落,英雄の穴倉,雪と氷の城,果てへと至る道,炎の館,第67集落,北の境界,忘れられた神殿
AP,40,30,20,10,40,30,20,10,40,30,20,10,40,30,20,10,40,30,20,10,40,30,20,10,40,30,20,10,3,4,4,5,5,6,15,7,7,7,7,7,7,7,7,7,8,13,9,9,9,9,9,15,9,9,10,9,10,12,13,13,13,17,14,14,17,15,15,16,18,15,15,15,16,16,16,18,19,20,17,17,17,17,17,18,18,18,18,18,18,20,20,21,19,19,19,19,19,19,20,20,20,20,21,21,22,22,20,20,20,20,21,21,21,21,21,21,21,21,21,21,20,20,21,21,21,21,21,21,21,21,20,20,20,21,21,21,21,21,21,21,21,21,20,21,21,21,21,21,21,21,20,20,21,21,21,21,21,21,21,21,21,20,20,20,21,21,21,21,21,21,21,21,21,21,21,20,20,20,21,21,21,21,21,21,21,21
samples,6130,697,524,1498,5560,988,309,1185,2442,469,549,834,2727,718,709,787,9768,1233,885,2384,6017,715,457,1052,8209,3606,360,1042,3376,747,8140,2029,1319,368,16580,185,45,95,170,155,299,1372,303,252,310,153,112,75,300,224,186,652,151,628,80,34,158,3748,254,71,489,1100,957,845,1493,1542,84,418,3202,140,280,144,99,100,141,1407,4372,4583,87,244,139,3921,3388,167,2220,1217,163,700,276,18498,376,3018,6939,252,3993,502,469,1128,457,391,1790,10068,926,4931,1692,2049,1371,316,98,638,1228,1200,3669,5436,3569,2483,514,2713,3571,2500,93,356,5199,1371,501,3532,367,737,9170,4546,2915,93,557,2440,283,314,200,1358,1444,2335,48,508,464,328,1000,2058,4956,942,4023,878,176,6788,8931,4127,2301,1140,4724,484,3321,326,650,96,8181,2093,122,167,4378,1060,71,3500,1752,2953,1704,314,2706,126,194,1311,148,412,4777,112,9969,225,491,1551
6503,17.9,10.6,7.6,11.1,19.5,16.2,10.7,11.8,23.8,13.4,6.4,11.7,,,,,,,,,,,,,19.3,13.9,10.1,10.8,,,,,,,,,17.8,,5.9,,20.1,29.6,,,,,29.5,20,,29.5,29.6,,13.9,15.6,,,13.3,59.6,51.6,29.6,,,25.2,,,,17.9,,,,,,,,,,,,,38.5,,,67.9,47.9,,62.7,60.7,47,50.7,48.7,48.7,,,,,,38,,,,,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,30.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6516,,,30.5,24.1,,,16.5,26.8,,,,,,,,,,,,,,,,,,,,24.8,7.6,15,18.5,20.5,18,16.8,64.2,,,5.3,,,,,,,13.9,16.3,,,,,,53.7,,,,20.6,,,,,,36.1,,,,,,,,,,,,,,37.5,28.7,35.8,,,,,,,,,,,,,,,63.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6512,,,1.2,3.8,,,,,,,,,46.7,44.2,25.5,16.3,,,,,14.6,9,18.6,12.3,,,,3.8,,,,,,,,9.2,,10.5,13.5,7.1,,,16.2,,10.3,14.4,,,,,,,,,,,,,,,38.2,,,50.3,,,11.9,,,,,,,,,,,,,,,62.4,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,64.5,,,,,,,,,,,,,,,,,,41.9,,,,,,,50.2,,,,,,,,,,,,,,,,,,,,,,,41.5,,,,,,,,,,,,,,,,,,,,,,,,,
6505,24.3,21.5,13.5,5.2,23.5,20.5,13.6,6.4,23.6,18.3,18.6,4.2,16.9,12.5,16.3,3.2,24.3,22,21.5,13.9,19.2,14.1,18.4,11.7,22.5,19.9,16.1,4,,,,,4.2,8.4,,7.6,,,,9,5.8,,9,,9.4,11.8,5.4,,,,,,18.5,8.3,,5.9,7.6,,11.4,8.5,14.1,,,,,,22.6,,,,7.1,,13.1,16,,,,,,32.8,13.7,,,13.8,14.3,14.8,,,,63.8,,,,,,,,,46.8,,,,,16.8,,,,,,,,,,,,,,,,,,29.8,,,27.5,,28.3,,,,,,,,34.3,,35,,,,20.8,,,31.7,,,30.1,28.7,30.3,29.5,,,,,,,,,,,,,,,,,,,,29.7,,,30.1,30.3,,38.9,,,,,,,,,33.4,
6522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.1,,,,,,,,31.4,,,43.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,35,,,,,,,,,,,,,,,,,42.4,,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4,39.1,,,,62.6,,43.8,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,40.1,,,,44.9,,,,,,31.2,,,,,,,,,,,,
6530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.6,42.1,65.4,38.4,,,25.9,,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
